frame,method,threshold,TP,FP,FN,F1,n_gt
727,λ = RL,32.400000,17,1,10,0.755556,27
728,λ = RL,32.400000,21,1,6,0.857143,27
738,λ = RL,32.400000,22,3,4,0.862745,26
739,λ = RL,32.400000,19,5,7,0.760000,26
740,λ = RL,32.400000,21,2,5,0.857143,26
741,λ = RL,32.400000,23,5,5,0.821429,28
742,λ = RL,32.400000,20,5,6,0.784314,26
743,λ = RL,32.400000,22,4,4,0.846154,26
744,λ = RL,32.400000,19,4,7,0.775510,26
748,λ = RL,32.400000,17,6,9,0.693878,26
750,λ = RL,32.400000,22,0,6,0.880000,28
751,λ = RL,32.400000,18,2,9,0.765957,27
753,λ = RL,32.400000,16,3,10,0.711111,26
758,λ = RL,32.400000,16,3,11,0.695652,27
759,λ = RL,32.400000,18,1,9,0.782609,27
760,λ = RL,32.400000,20,3,7,0.800000,27
761,λ = RL,32.400000,18,3,9,0.750000,27
762,λ = RL,32.400000,20,2,8,0.800000,28
763,λ = RL,32.400000,22,6,4,0.814815,26
764,λ = RL,32.400000,16,5,11,0.666667,27
765,λ = RL,32.400000,17,6,9,0.693878,26
768,λ = RL,32.400000,24,2,2,0.923077,26
771,λ = RL,32.400000,17,5,12,0.666667,29
772,λ = RL,32.400000,20,1,7,0.833333,27
773,λ = RL,32.400000,22,1,5,0.880000,27
776,λ = RL,32.400000,13,4,13,0.604651,26
777,λ = RL,32.400000,18,4,10,0.720000,28
778,λ = RL,32.400000,22,8,6,0.758621,28
781,λ = RL,32.400000,22,2,4,0.880000,26
782,λ = RL,32.400000,19,4,9,0.745098,28
783,λ = RL,32.400000,21,4,8,0.777778,29
784,λ = RL,32.400000,20,1,6,0.851064,26
785,λ = RL,32.400000,21,2,5,0.857143,26
786,λ = RL,32.400000,18,1,8,0.800000,26
852,λ = RL,32.400000,17,4,9,0.723404,26
872,λ = RL,32.400000,18,2,8,0.782609,26
873,λ = RL,32.400000,19,9,10,0.666667,29
875,λ = RL,32.400000,20,3,6,0.816327,26
876,λ = RL,32.400000,22,1,4,0.897959,26
